JV,STATE,Name
PLJV,CO,Barr Lake
PLJV,CO,Colorado Springs
PLJV,CO,Crook
PLJV,CO,Fountain Creek
PLJV,CO,Holly
PLJV,CO,Pueblo
PLJV,CO,Spanish Peaks
PLJV,KS,Dodge City
PLJV,KS,Great Bend
PLJV,KS,Liberal-Seward Co.
PLJV,KS,Scott Lake
PLJV,NM,Clovis
PLJV,TX,Amarillo
PLJV,TX,Big Spring
PLJV,TX,Buffalo Lake NWR
PLJV,TX,Lake Thomas
PLJV,TX,Lake Meredith (east)
PLJV,TX,Lubbock Co.
PLJV,TX,Midland
PLJV,TX,Muleshoe NWR
PLJV,TX,Quitaque
PLJV,TX,Stanton
PLJV,TX,White River
